release_event_id,artist_name,release_name,release_type,release_date,release_source
rel_bts_2025_07_18,BTS,Permission to Dance on Stage - Live,album,2025-07-18,wikipedia_verified
rel_agustd_2024_07_05,Agust D,D-Day,album,2024-07-05,wikipedia_verified
rel_jhope_2024_03_29,j-hope,Hope on the Street Vol. 1,ep,2024-03-29,wikipedia_verified
rel_jungkook_2024_06_07,Jung Kook,Never Let Go,single,2024-06-07,wikipedia_verified
rel_jennie_2024_10_11,JENNIE,Mantra,single,2024-10-11,wikipedia_verified
rel_jennie_2025_01_25,JENNIE,Zen,mv,2025-01-25,wikipedia_verified
rel_jennie_2025_01_31,JENNIE,Love Hangover,single,2025-01-31,wikipedia_verified
rel_jennie_2025_02_21,JENNIE,ExtraL,single,2025-02-21,wikipedia_verified
rel_jennie_2025_03_07,JENNIE,Ruby,album,2025-03-07,wikipedia_verified
rel_jennie_2025_03_10,JENNIE,Handlebars,mv,2025-03-10,wikipedia_verified
rel_jennie_2025_04_26,JENNIE,Seoul City,mv,2025-04-26,wikipedia_verified
rel_blackpink_2025_07_11,BLACKPINK,Jump,single,2025-07-11,wikipedia_verified
rel_cortis_2025_08_11,CORTIS,Go!,single,2025-08-11,wikipedia_verified
rel_cortis_2025_08_18,CORTIS,What You Want,single,2025-08-18,wikipedia_verified
rel_cortis_2025_09_08,CORTIS,Color Outside the Lines,ep,2025-09-08,wikipedia_verified
rel_hearts2hearts_2025_02_24,Hearts2Hearts,The Chase,album,2025-02-24,wikipedia_verified
rel_hearts2hearts_2025_02_24,Hearts2Hearts,The Chase,single,2025-02-24,wikipedia_verified
rel_hearts2hearts_2025_10_20,Hearts2Hearts,Focus,ep,2025-10-20,wikipedia_verified
rel_katseye_2024_06_28,KATSEYE,Debut,single,2024-06-28,wikipedia_verified
rel_katseye_2024_07_26,KATSEYE,Touch,single,2024-07-26,wikipedia_verified
rel_katseye_2024_08_16,KATSEYE,SIS (Soft Is Strong),ep,2024-08-16,wikipedia_verified
rel_katseye_2024_11_14,KATSEYE,Flame,single,2024-11-14,wikipedia_verified
rel_katseye_2025_04_30,KATSEYE,Gnarly,single,2025-04-30,wikipedia_verified
rel_katseye_2025_06_27,KATSEYE,Beautiful Chaos,ep,2025-06-27,wikipedia_verified
rel_straykids_2024_05_17,Stray Kids,Lose My Breath,single,2024-05-17,wikipedia_verified
rel_straykids_2024_11_13,Stray Kids,Giant,album,2024-11-13,wikipedia_verified
rel_straykids_2024_11_13,Stray Kids,Giant,single,2024-11-13,wikipedia_verified
rel_straykids_2025_08_22,Stray Kids,Karma,album,2025-08-22,wikipedia_verified
rel_twice_2024_02_02,TWICE,I Got You,single,2024-02-02,wikipedia_verified
rel_twice_2024_02_23,TWICE,With You-th,ep,2024-02-23,wikipedia_verified
rel_twice_2024_07_17,TWICE,Dive,album,2024-07-17,wikipedia_verified
rel_twice_2024_12_06,TWICE,Strategy,ep,2024-12-06,wikipedia_verified
rel_twice_2025_07_11,TWICE,This Is For,album,2025-07-11,wikipedia_verified
rel_twice_2025_07_11,TWICE,This Is For,single,2025-07-11,wikipedia_verified
rel_aespa_2024_05_13,aespa,Supernova,single,2024-05-13,wikipedia_verified
rel_aespa_2024_05_27,aespa,Armageddon,album,2024-05-27,wikipedia_verified
rel_aespa_2024_05_27,aespa,Armageddon,single,2024-05-27,wikipedia_verified
rel_aespa_2024_10_21,aespa,Whiplash,ep,2024-10-21,wikipedia_verified
rel_aespa_2024_10_21,aespa,Whiplash,single,2024-10-21,wikipedia_verified
rel_lisa_2024_06_27,LISA,Rockstar,single,2024-06-27,wikipedia_verified
rel_lisa_2024_08_15,LISA,New Woman,single,2024-08-15,wikipedia_verified
rel_lisa_2025_02_07,LISA,Born Again,single,2025-02-07,wikipedia_verified
rel_lisa_2025_02_28,LISA,Alter Ego,album,2025-02-28,wikipedia_verified
rel_lisa_2025_02_28,LISA,Fxck Up the World,mv,2025-02-28,wikipedia_verified
rel_lisa_2025_05_16,LISA,When I'm with You,mv,2025-05-16,wikipedia_verified
rel_lesserafim_2024_02_19,LE SSERAFIM,Easy,ep,2024-02-19,wikipedia_verified
rel_lesserafim_2024_02_19,LE SSERAFIM,Easy,single,2024-02-19,wikipedia_verified
rel_lesserafim_2024_08_30,LE SSERAFIM,Crazy,ep,2024-08-30,wikipedia_verified
rel_lesserafim_2024_08_30,LE SSERAFIM,Crazy,single,2024-08-30,wikipedia_verified
